condition,method,specimen,chamfer_l1_mm,hd95_mm,fscore_1mm,normal_consistency,precision_1mm,coverage_1mm
sweeps:0.5,raw,specimen05,2.5673348843868737,20.59276310555803,0.6336230917708722,0.8648108137303211,0.5516105240392832,0.7523440118828936
sweeps:0.5,raw,specimen06,2.2859863878702114,25.06615045532482,0.7492073861042634,0.8300146060284229,0.6526458818896809,0.884714004995061
sweeps:0.5,raw,specimen07,1.772445339043032,16.419800310778516,0.7801102236611975,0.872093756134686,0.7043318129857039,0.8821942530228272
sweeps:0.5,raw,specimen08,1.6276766793489543,9.930911008841397,0.7747150673980766,0.8462603240777259,0.6892165333432443,0.8860205288388188
sweeps:0.5,raw,specimen09,1.8576579347358997,14.815671878253776,0.7233645680545385,0.844864013411776,0.6314572253077467,0.8474666720326854
sweeps:0.5,raw,specimen10,2.2238206339206914,14.990727640721389,0.5219723812208975,0.8424681947988405,0.48677504048949544,0.5687592940448267
sweeps:0.5,raw,specimen11,3.0289513421096506,29.080256286355635,0.5018061747386716,0.8528779549418758,0.47202700153009136,0.537964695780408
sweeps:0.5,raw,specimen12,2.0780013536104716,14.170573800188437,0.6570113843137144,0.8661143629728847,0.5872378706378957,0.7574953212730295
sweeps:0.5,raw,specimen13,3.09693073965346,17.47752381404429,0.5283074803791742,0.8156449903463973,0.45818859307864823,0.63559759142818
sweeps:0.5,raw,specimen14,1.7942062846241476,13.552125405036358,0.7682649892737076,0.8361224114471525,0.6961974231482859,0.8607766953873486
sweeps:0.5,cross_sweep_nearest,specimen01,1.08407593384592,8.217911492100582,0.819112575854266,0.8932580921680934,0.8147723769556056,0.8280407284834731
sweeps:0.5,cross_sweep_nearest,specimen02,1.055319996828017,6.069112573735886,0.8061834042178871,0.9067786971809401,0.7868320344744192,0.8282215140192206
sweeps:0.5,cross_sweep_nearest,specimen03,1.4675186652728627,11.780935721672982,0.6682013258857128,0.8711914849248096,0.6220162117635021,0.7247034918184911
sweeps:0.5,cross_sweep_nearest,specimen04,2.759898410597561,12.431482386477043,0.6954471025989005,0.8668635657840097,0.6789046858349023,0.7250101798880674
sweeps:0.5,cross_sweep_nearest,specimen05,2.3144255712778357,19.364307325323427,0.6441913157043485,0.8961800571831877,0.5973975821644775,0.7059282666721286
sweeps:0.5,cross_sweep_nearest,specimen06,1.9477077710597068,16.92847992449096,0.7785489909863089,0.863466658278846,0.7150356479505225,0.8585988850107197
sweeps:0.5,cross_sweep_nearest,specimen07,1.4780734517169145,12.142607986451223,0.8092059492822238,0.9081388309720806,0.7732414051917124,0.854367986361483
sweeps:0.5,cross_sweep_nearest,specimen08,1.3538815991103874,8.17667671994998,0.7926094609074976,0.8832386079022698,0.7432104815496609,0.8504385806254807
sweeps:0.5,cross_sweep_nearest,specimen09,1.7302393173561843,14.603097232297833,0.7412126158553299,0.8804169864685067,0.6810578384164624,0.8141453415996178
sweeps:0.5,cross_sweep_nearest,specimen10,2.1570275380191575,14.251980062016559,0.5153708538190812,0.8652202528807001,0.5109010376558657,0.5247170087006473
sweeps:0.5,cross_sweep_nearest,specimen11,2.979279265859919,25.207192332276765,0.4789629901176709,0.8735267025326746,0.4816915453453123,0.478754348441602
sweeps:0.5,cross_sweep_nearest,specimen12,2.029340035570431,18.253117597479157,0.67383294401586,0.8920839455272184,0.6425258750832511,0.7210787845922537
sweeps:0.5,cross_sweep_nearest,specimen13,3.1069929380105776,16.633195259757855,0.5424474460864421,0.8411012489528855,0.49791506762898585,0.6061045644602913
sweeps:0.5,cross_sweep_nearest,specimen14,1.6429940210274026,13.214370475654794,0.7789073047778539,0.8639916527498098,0.7423449840146957,0.8217358341139501
sweeps:0.5,pfad,specimen01,0.8094964952751109,4.20911749674248,0.8347290366406291,0.8976745751787769,0.8230677080064585,0.850635385206441
sweeps:0.5,pfad,specimen02,0.8216105356615636,2.336188464902758,0.811355458344757,0.9176247879665889,0.7903786184505801,0.8356222432477457
sweeps:0.5,pfad,specimen03,1.0961715499042193,5.992561013243332,0.6866619258194012,0.8850961953440256,0.6421129864267017,0.7402241818079108
sweeps:0.5,pfad,specimen04,2.5973203265946956,10.82962216348475,0.6969764003422491,0.8715570258397989,0.6801969077544308,0.7269898483182647
