backend,specimen,anatomy,method,condition,level,draw,retention,virtual_target_rms_displacement_mm,registration_recall,rotation_error_deg,translation_error_mm,registration_only_seconds,fitness,error
,specimen01,tibia,random_policy,5deg_5mm,1,0,0.9,0.7884040507427602,1.0,1.2477586554584408,0.6064865590418755,0.08298649900825694,0.988,
,specimen01,tibia,random_policy,5deg_5mm,1,1,0.9,0.7884040507428057,1.0,1.2477586554555196,0.6440282556809082,0.09028552201925777,0.988,
,specimen01,tibia,random_policy,5deg_5mm,1,2,0.9,0.7884040507427995,1.0,1.2477586554561038,0.6216078380432372,0.1072741660173051,0.988,
,specimen01,tibia,random_policy,5deg_5mm,1,3,0.9,0.7884040507428065,1.0,1.247758655453767,0.6139640146952138,0.07326021298649721,0.988,
,specimen01,tibia,random_policy,5deg_5mm,1,4,0.9,0.788404050742808,1.0,1.2477586554561038,0.6295599237614264,0.09891875201719813,0.988,
,specimen01,tibia,random_policy,10deg_10mm,2,0,0.9,26.838828673704896,0.0,10.169989054958032,16.74521320009791,0.3270698389969766,0.7203333333333334,
,specimen01,tibia,random_policy,10deg_10mm,2,1,0.9,0.7884040507428113,1.0,1.2477586554549354,0.719789866338159,0.108736640017014,0.988,
,specimen01,tibia,random_policy,10deg_10mm,2,2,0.9,0.7884040507427533,1.0,1.2477586554561038,0.7249846275719514,0.09876912299660034,0.988,
,specimen01,tibia,random_policy,10deg_10mm,2,3,0.9,0.7884040507427403,1.0,1.2477586554566882,0.6237014471100344,0.09341912498348393,0.988,
,specimen01,tibia,random_policy,10deg_10mm,2,4,0.9,0.7884040507427702,1.0,1.2477586554549354,0.6617135610577835,0.0930844429822173,0.988,
,specimen01,tibia,random_policy,20deg_20mm,3,0,0.9,0.7884040507428188,1.0,1.2477586554555196,0.7841665641688255,0.10668739498942159,0.988,
,specimen01,tibia,random_policy,20deg_20mm,3,1,0.9,26.830315986455048,0.0,10.160813758819003,14.704307394378983,0.3184234400105197,0.7201666666666666,
,specimen01,tibia,random_policy,20deg_20mm,3,2,0.9,26.83580353567782,0.0,10.161897115391854,12.614495669498261,0.323871496017091,0.7201666666666666,
,specimen01,tibia,random_policy,20deg_20mm,3,3,0.9,0.788404050742778,1.0,1.2477586554555196,0.8051345200709379,0.13262736800243147,0.988,
,specimen01,tibia,random_policy,20deg_20mm,3,4,0.9,0.7884040507427852,1.0,1.2477586554555196,0.6196780880482528,0.11117431501043029,0.988,
,specimen01,tibia,geometry_policy,aligned,0,0,1.0,0.7846472513563193,1.0,1.2119846638717306,0.6501190632674227,0.08141070700366981,0.9846666666666667,
,specimen01,tibia,geometry_policy,5deg_5mm,1,0,1.0,0.784647251356405,1.0,1.2119846638717306,0.6199560444892563,0.11470990101224743,0.9846666666666667,
,specimen01,tibia,geometry_policy,5deg_5mm,1,1,1.0,0.7846472513563524,1.0,1.211984663869926,0.6542646076165405,0.08227337701828219,0.9846666666666667,
,specimen01,tibia,geometry_policy,5deg_5mm,1,2,1.0,0.7846472513563185,1.0,1.2119846638723322,0.635566812174464,0.08602698001777753,0.9846666666666667,
,specimen01,tibia,geometry_policy,5deg_5mm,1,3,1.0,0.784647251356384,1.0,1.2119846638705276,0.6281547046067705,0.11765344900777563,0.9846666666666667,
,specimen01,tibia,geometry_policy,5deg_5mm,1,4,1.0,0.7846472513562998,1.0,1.2119846638717306,0.6414297653380145,0.08377662999555469,0.9846666666666667,
,specimen01,tibia,geometry_policy,10deg_10mm,2,0,1.0,26.849689010566237,0.0,9.967860029364203,16.821844020180674,0.32367984199663624,0.7055,
,specimen01,tibia,geometry_policy,10deg_10mm,2,1,1.0,0.7846472513563233,1.0,1.2119846638723322,0.7253928724897687,0.08842006302438676,0.9846666666666667,
,specimen01,tibia,geometry_policy,10deg_10mm,2,2,1.0,0.7846472513564009,1.0,1.2119846638687233,0.7340004992689483,0.12007693501072936,0.9846666666666667,
,specimen01,tibia,geometry_policy,10deg_10mm,2,3,1.0,0.7846472513563639,1.0,1.2119846638711291,0.6389610268010588,0.11874372101738118,0.9846666666666667,
,specimen01,tibia,geometry_policy,10deg_10mm,2,4,1.0,0.7846472513563776,1.0,1.2119846638711291,0.6742710779712676,0.11579884501406923,0.9846666666666667,
,specimen01,tibia,geometry_policy,20deg_20mm,3,0,1.0,0.7846472513563479,1.0,1.211984663869926,0.7917465290155783,0.12313208100385964,0.9846666666666667,
,specimen01,tibia,geometry_policy,20deg_20mm,3,1,1.0,26.8496890105663,0.0,9.967860029364129,14.851444939405805,0.3248217809887137,0.7055,
,specimen01,tibia,geometry_policy,20deg_20mm,3,2,1.0,26.848118632639732,0.0,9.986370870032474,12.742380888773399,0.32199150798260234,0.7053333333333334,
,specimen01,tibia,geometry_policy,20deg_20mm,3,3,1.0,0.7846472513563384,1.0,1.2119846638717306,0.8120116724682511,0.13861464700312354,0.9846666666666667,
,specimen01,tibia,geometry_policy,20deg_20mm,3,4,1.0,0.7846472513563751,1.0,1.2119846638711291,0.6343126976631236,0.12239461499848403,0.9846666666666667,
,specimen01,tibia,pfad_policy,aligned,0,0,0.9,1.1122349757080419,1.0,1.3347143687791188,0.9931131760829035,0.043098925991216674,0.9998333333333334,
,specimen01,tibia,pfad_policy,5deg_5mm,1,0,0.9,1.1122349757080714,1.0,1.3347143687785725,0.9721022228629053,0.0512550650164485,0.9998333333333334,
,specimen01,tibia,pfad_policy,5deg_5mm,1,1,0.9,1.1122349757080412,1.0,1.3347143687785725,1.0027699083303454,0.04457677199388854,0.9998333333333334,
,specimen01,tibia,pfad_policy,5deg_5mm,1,2,0.9,1.112234975708052,1.0,1.3347143687791188,0.9770666196369353,0.04656407100264914,0.9998333333333334,
,specimen01,tibia,pfad_policy,5deg_5mm,1,3,0.9,1.112234975708046,1.0,1.3347143687780263,0.9750541710807756,0.048891203972743824,0.9998333333333334,
,specimen01,tibia,pfad_policy,5deg_5mm,1,4,0.9,1.1122349757080523,1.0,1.3347143687785725,0.9870231371714959,0.05210961599368602,0.9998333333333334,
,specimen01,tibia,pfad_policy,10deg_10mm,2,0,0.9,32.93965017505508,0.0,8.09613287782315,21.645046584306403,0.2993264129909221,0.7411666666666666,
,specimen01,tibia,pfad_policy,10deg_10mm,2,1,0.9,1.112234975708025,1.0,1.3347143687791188,1.0574706844230684,0.04666523198829964,0.9998333333333334,
,specimen01,tibia,pfad_policy,10deg_10mm,2,2,0.9,1.1122349757080532,1.0,1.3347143687785725,1.0578706816840917,0.059204957011388615,0.9998333333333334,
,specimen01,tibia,pfad_policy,10deg_10mm,2,3,0.9,1.1122349757080712,1.0,1.33471436877748,0.9742490769125403,0.05761288301437162,0.9998333333333334,
,specimen01,tibia,pfad_policy,10deg_10mm,2,4,0.9,1.1122349757080727,1.0,1.3347143687785725,1.0107230525794844,0.052262876997701824,0.9998333333333334,
,specimen01,tibia,pfad_policy,20deg_20mm,3,0,0.9,1.1122349757080756,1.0,1.3347143687785725,1.0893147133700656,0.059722172998590395,0.9998333333333334,
,specimen01,tibia,pfad_policy,20deg_20mm,3,1,0.9,32.954388552801866,0.0,8.107527695686004,19.859621947254947,0.2923155619937461,0.741,
,specimen01,tibia,pfad_policy,20deg_20mm,3,2,0.9,33.03194681272344,0.0,8.1413744122636,22.119617775155845,0.2925970869837329,0.741,
,specimen01,tibia,pfad_policy,20deg_20mm,3,3,0.9,1.112234975708056,1.0,1.3347143687780263,1.1187406824911441,0.08909904799656942,0.9998333333333334,
,specimen01,tibia,pfad_policy,20deg_20mm,3,4,0.9,1.1122349757080958,1.0,1.33471436877748,0.9844084885108854,0.06830834000720643,0.9998333333333334,
,specimen01,fibula,raw,aligned,0,0,,0.6873437639928147,1.0,1.1796839026239914,0.5011940779393929,0.1695091040164698,0.8391666666666666,
,specimen01,fibula,raw,5deg_5mm,1,0,,0.6873374565962166,1.0,1.1796536836223854,0.555838910985279,0.1699181940057315,0.8391666666666666,
,specimen01,fibula,raw,5deg_5mm,1,1,,0.6873437639928183,1.0,1.1796839026252275,0.411638592051461,0.17194218400982209,0.8391666666666666,
,specimen01,fibula,raw,5deg_5mm,1,2,,0.6873437639928145,1.0,1.1796839026227555,0.43576934418486063,0.16920670599211007,0.8391666666666666,
,specimen01,fibula,raw,5deg_5mm,1,3,,0.6873437639928214,1.0,1.1796839026246095,0.44997892919652277,0.16993377200560644,0.8391666666666666,
